E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.4248047,4.15E-07,6.85E-07,7.63E-07,8.43E-07,9.14E-07,1.01E-06
0.4296875,4.19E-07,6.89E-07,7.66E-07,8.47E-07,9.18E-07,1.02E-06
0.4345703,4.23E-07,6.91E-07,7.68E-07,8.52E-07,9.25E-07,1.03E-06
0.4394531,4.28E-07,6.94E-07,7.71E-07,8.57E-07,9.31E-07,1.04E-06
0.4443359,4.33E-07,6.96E-07,7.74E-07,8.62E-07,9.39E-07,1.05E-06
0.4492188,4.37E-07,6.98E-07,7.77E-07,8.67E-07,9.46E-07,1.06E-06
0.4541016,4.42E-07,7E-07,7.82E-07,8.74E-07,9.56E-07,1.07E-06
0.4589844,4.47E-07,7.03E-07,7.86E-07,8.81E-07,9.67E-07,1.08E-06
0.4638672,4.52E-07,7.04E-07,7.89E-07,8.89E-07,9.78E-07,1.1E-06
0.46875,4.57E-07,7.08E-07,7.95E-07,8.97E-07,9.92E-07,1.12E-06
0.4736328,4.63E-07,7.1E-07,8.01E-07,9.08E-07,1.01E-06,1.14E-06
0.4785156,4.69E-07,7.13E-07,8.07E-07,9.19E-07,1.02E-06,1.16E-06
0.4833984,4.74E-07,7.17E-07,8.15E-07,9.31E-07,1.04E-06,1.18E-06
0.4882813,4.8E-07,7.21E-07,8.23E-07,9.45E-07,1.06E-06,1.21E-06
0.4931641,4.86E-07,7.27E-07,8.33E-07,9.62E-07,1.08E-06,1.23E-06
0.4980469,4.93E-07,7.32E-07,8.43E-07,9.81E-07,1.11E-06,1.27E-06
0.5029297,4.99E-07,7.39E-07,8.55E-07,1E-06,1.14E-06,1.3E-06
0.5078125,5.06E-07,7.46E-07,8.7E-07,1.02E-06,1.17E-06,1.34E-06
0.5126953,5.13E-07,7.54E-07,8.84E-07,1.05E-06,1.2E-06,1.37E-06
0.5175781,5.21E-07,7.64E-07,9.01E-07,1.08E-06,1.24E-06,1.42E-06
0.5224609,5.28E-07,7.74E-07,9.21E-07,1.1E-06,1.28E-06,1.46E-06
0.5273438,5.36E-07,7.86E-07,9.42E-07,1.14E-06,1.31E-06,1.5E-06
0.5322266,5.44E-07,7.99E-07,9.64E-07,1.17E-06,1.35E-06,1.54E-06
0.5371094,5.53E-07,8.14E-07,9.89E-07,1.2E-06,1.39E-06,1.58E-06
0.5419922,5.62E-07,8.3E-07,1.02E-06,1.24E-06,1.43E-06,1.63E-06
0.546875,5.7E-07,8.47E-07,1.04E-06,1.27E-06,1.47E-06,1.67E-06
0.5517578,5.8E-07,8.66E-07,1.07E-06,1.31E-06,1.52E-06,1.71E-06
0.5566406,5.9E-07,8.87E-07,1.1E-06,1.35E-06,1.56E-06,1.75E-06
0.5615234,6.01E-07,9.09E-07,1.13E-06,1.39E-06,1.6E-06,1.79E-06
0.5664063,6.12E-07,9.34E-07,1.17E-06,1.43E-06,1.64E-06,1.84E-06
0.5712891,6.25E-07,9.61E-07,1.21E-06,1.47E-06,1.69E-06,1.88E-06
0.5761719,6.37E-07,9.88E-07,1.25E-06,1.52E-06,1.74E-06,1.93E-06
0.5810547,6.5E-07,1.02E-06,1.29E-06,1.56E-06,1.78E-06,1.98E-06
